ISCI Code,Title,Media,Market(DMA),Length,Category,Value Prop,Drive Link
LRPH35110,Help YAYA 2 esp [SP],Radio,PHX,30,Auto Accidents,,https://drive.google.com/file/d/1psC6tWwhXI7aglQNZh3v7_26H_Gjflcq/view?usp=sharing
LRPH35111,Help YAYA 3 esp [SP],Radio,PHX,30,Auto Accidents,,https://drive.google.com/file/d/1FIaoB0i-ObVcNRCBz4ZYJC3-tlpe7eaJ/view?usp=sharing
LRPH35123,Help Ayudame LOS REYES Radio PHX [SP],Radio,PHX,30,Auto Accidents,,https://drive.google.com/file/d/1ETVzLAF71yE87r3Oxs0cHTqyFN4Lzhjc/view
LRPH35130,Los Reyes Seguro PHX [SP],Radio,PHX,30,Auto Accidents,,https://drive.google.com/file/d/1sUtZUQwQPypHjcrkYN4wEz47jrMjnWhj/view?usp=sharing
LRPH35136,Rear End PHX,Radio,PHX,15,Auto Accidents,,https://drive.google.com/file/d/1vFGnIy0yz8mKGucVuT13umArP5NmvA6p/view?usp=sharing
LRPH35149,MAKE THEM PAY PHX,Radio,PHX,15,Results,Results,https://drive.google.com/file/d/1B422edYnF_uQZJfeD5-ZCKspeXMhE5Xz/view?usp=sharing
LRPH35344,ESP Sin Estres 1 PHX TUC [SP],Radio,PHX,30,Auto Accidents,,https://drive.google.com/file/d/19UI86QsaXRhjkZhCMqluC6uC-nmq7agJ/view?usp=sharing
LRPH35345,ESP Sin Estres 2 PHX TUC [SP],Radio,PHX,30,Auto Accidents,,https://drive.google.com/file/d/1Noj_jofsM1k6phyheA07vXP7043HedkN/view?usp=sharing
LRPH34011,Big Rigs23,TV,PHX,15,Trucking,Big Cases,https://drive.google.com/file/d/1m8stbNsPLkTzLFG4PU2Sim65wtQI6N66/view
LRPH34019,Check List,TV,PHX,15,Results,,https://drive.google.com/file/d/11nZfTnEfsUDnoSkzGS2VmD2Gu86Kwn6L/view
LRPH34105,Settlements2,TV,PHX,15,Results,Results,https://drive.google.com/file/d/1UTkv8AydOLsySycsrlabAqykpwnu1Haa/view
LRPH35050,Ins Stop PHX,TV,PHX,15,Auto Accidents,,https://drive.google.com/file/d/1xHSx-UVdv7vyp-U85hiplYJ--NHw0fvy/view?usp=sharing
LRPH35058,Wreck Check PHX,TV,PHX,15,Auto Accidents,Aggressive,https://drive.google.com/file/d/1Bjw7d0RlDhztAUZ5f0oEjSBYuie7GNLa/view?usp=sharing
LRPH35066,Weekend25 PHX,TV,PHX,15,Auto Accidents,,https://drive.google.com/file/d/1zCpsO43er6neKiBROtpt-oMLs5e53Whz/view?usp=sharing
LRPH35074,Overnight25 PHX,TV,PHX,15,Auto Accidents,,https://drive.google.com/file/d/1jiYb4Qqf47qKIrO2OblgYrYNCG--PcBQ/view?usp=sharing
LRPH35084,Get LNR25 PHX,TV,PHX,15,Auto Accidents,,https://drive.google.com/file/d/1yEv96YYHqbYUYD1B-Ra1qFOKdScPyxY0/view?usp=sharing
LRPH35092,If your wreck 25 PHX,TV,PHX,15,Auto Accidents,Aggressive,https://drive.google.com/file/d/1W-Gg9E_ycFDnjw9aOkFFAeKsqtzdVccw/view?usp=sharing
LRPH35100,Tiny Check 25 PHX,TV,PHX,15,Results,,https://drive.google.com/file/d/1vWIGcGj-Dseuxy9_HZSvfOoTf0ue5j3E/view?usp=sharing
LRPH35157,Help REV25 [SP],TV,PHX,15,Auto Accidents,,https://drive.google.com/file/d/144bYCS-QsfyTzKgDmbaQ8deYn2IEtT9K/view?usp=sharing
LRPH36033,Best 11 Years PHX2r,TV,PHX,15,Brand,Experience,https://drive.google.com/file/d/1hhOVA62QXJthX9Rzim1MmMjz0UdV6vWY/view?usp=sharing
LRPH36061,Legal Genie PHX,TV,PHX,15,Brand,Experience,https://drive.google.com/file/d/17GtKzh6YD8cFcjMfUUBjI8FBcswXfW8W/view?usp=sharing
LRPH36071,Done it again PHX,TV,PHX,15,Auto Accidents,,https://drive.google.com/file/d/1CN_eyzNg4aU23C6ghOVE24rFio9GYubP/view?usp=sharing
LRPH36081,Accidents Happen Fast PHX,TV,PHX,15,Auto Accidents,,https://drive.google.com/file/d/1zXGAk7ZAqooacuHol6vL6Ub5oXnA71bU/view?usp=sharing
LRRO34016,Big Rigs23,TV,RNO,15,Trucking,Big Cases,https://drive.google.com/file/d/1h-8vhuW8FnnrkmdMpr7bVp05SZKYQeIK/view
LRRO34024,Check List,TV,RNO,15,Results,,https://drive.google.com/file/d/1-UlIrwjrDfzywBJ8xF-OZHhqu2q-klB1/view
LRRO34110,Settlements2,TV,RNO,15,Results,Results,https://drive.google.com/file/d/16E6Rz-ztRYuuocuL8T6LPLmHgUFOito3/view
LRRO35055,Ins Stop RNO,TV,RNO,15,Auto Accidents,,https://drive.google.com/file/d/1czuNRWo7b_cpBBHNq3dwkRCe_1J9eCwp/view?usp=sharing
LRRO35063,Wreck Check RNO,TV,RNO,15,Auto Accidents,Aggressive,https://drive.google.com/file/d/1JktVHNY68v3keWi6kSrbWf3_1_nVpfpw/view?usp=sharing
LRRO35071,Weekend25 RNO,TV,RNO,15,Auto Accidents,,https://drive.google.com/file/d/1nDUSxtU7t6f_EaGTs1EX602H-z7kDDDl/view?usp=sharing
LRRO35079,Overnight25 RNO,TV,RNO,15,Auto Accidents,,https://drive.google.com/file/d/1L503Hla9qLnXdEVf3c8YKL9MZB5n25Dx/view?usp=sharing
LRRO35089,Get LNR25 RNO,TV,RNO,15,Auto Accidents,,https://drive.google.com/file/d/1Hoa8gkmynmQRwJftsFmscriKs_wRLaaQ/view?usp=sharing
LRRO35097,If your wreck 25 RNO,TV,RNO,15,Auto Accidents,Aggressive,https://drive.google.com/file/d/1yUBgIMZKaDvSOkyM5iohKJX4m3t31KzU/view?usp=sharing
LRRO35105,Tiny Check 25 RNO,TV,RNO,15,Results,,https://drive.google.com/file/d/1RkoZ0w7TFHZp5t7ds7koTPbqbUr3n8Sf/view?usp=sharing
LRRO36066,Legal Genie RNO,TV,RNO,15,Brand,Experience,https://drive.google.com/file/d/1LhNZa6GQv-QbPque8u05UDI3cqumRwrN/view?usp=sharing
LRRO36080,Done it again RNO,TV,RNO,15,Auto Accidents,,https://drive.google.com/file/d/19DiFXsrpepaC2lrFoOCKaz6OGXBK7svX/view?usp=sharing
LRRO36090,Accidents Happen Fast RNO,TV,RNO,15,Auto Accidents,,https://drive.google.com/file/d/1fJ86Te3_z_pbZSt-1bkvkUrmVa7r_7W5/view?usp=sharing
LRTU34012,Big Rigs23,TV,TUC,15,Trucking,Big Cases,https://drive.google.com/file/d/1UcWvoSBWzosWCAHaHpeaQfZwsJvFW9Th/view
LRTU34020,Check List,TV,TUC,15,Results,,https://drive.google.com/file/d/18OZRpVdfsT-Ts8LcMzdUdTPbYsP9i57t/view
LRTU34106,Settlements2,TV,TUC,15,Results,Results,https://drive.google.com/file/d/1uatGXflpcQ5vxDInadlmjC3nk5fMCkk0/view
LRTU35051,Ins Stop TUC,TV,TUC,15,Auto Accidents,,https://drive.google.com/file/d/1Awirx41s9hAJqKEaBVsUy_hLZndI_8Xx/view?usp=sharing
LRTU35059,Wreck Check TUC,TV,TUC,15,Auto Accidents,Aggressive,https://drive.google.com/file/d/1cJcoqscmM_oBh7g_HFuoM1qkX1pJIC3Q/view?usp=sharing
LRTU35067,Weekend25 TUC,TV,TUC,15,Auto Accidents,,https://drive.google.com/file/d/1BCWYVN6dGKiDIFCyK08dRfTA0LZv4nfi/view?usp=sharing
LRTU35075,Overnight25 TUC,TV,TUC,15,Auto Accidents,,https://drive.google.com/file/d/1F4S9FluzFrD4KoUNF-VVFr-s70bYhqWa/view?usp=sharing
LRTU35085,Get LNR25 TUC,TV,TUC,15,Auto Accidents,,https://drive.google.com/file/d/1EJWtBBouULtGqiqgyzwqC_LHK7IWusX1/view?usp=sharing
LRTU35093,If your wreck 25 TUC,TV,TUC,15,Auto Accidents,Aggressive,https://drive.google.com/file/d/1ymEfPy8J_puI2IbAnejuezWhEi7l3L9C/view?usp=sharing
